"","formulae","accuracy"
"52","dummy.living ~ nr_pix + rows_with_5 + cols_with_5",0.725
"65","dummy.living ~ nr_pix + rows_with_5 + hollowness",0.725
"173","dummy.living ~ height + width + rows_with_5",0.725
"225","dummy.living ~ height + cols_with_5 + top2tile",0.725
"226","dummy.living ~ height + cols_with_5 + bottom2tile",0.725
"230","dummy.living ~ height + cols_with_5 + nr_regions",0.725
"252","dummy.living ~ height + neigh5 + horizontalness",0.725
"288","dummy.living ~ height + verticalness + avg_pixel_weight",0.725
"294","dummy.living ~ height + top2tile + nr_eyes",0.725
"307","dummy.living ~ height + horizontalness + nr_eyes",0.725
"322","dummy.living ~ height + nr_eyes + hollowness",0.725
"447","dummy.living ~ width + left_diagonals + nr_regions",0.725
"604","dummy.living ~ rows_with_5 + neigh1 + nr_regions",0.725
"789","dummy.living ~ neigh1 + left2tile + right2tile",0.725
